Spectral Class,Ia,Ib,II,III,IV,V,VI
B0,22000,24000,25000,26000,27000,28000,
B5,14200,14500,15100,15200,15400,15500,
A0,9000,9100,9300,9500,9700,9900,
A5,8000,8100,8200,8300,8400,8500,
F0,6900,7000,7100,7200,7300,7400,
F5,6100,6300,6400,6500,6600,6700,6800
G0,5400,5600,5700,5800,5900,6000,6100
G5,4700,4850,5000,5100,5200,5500,5600
K0,4000,4100,4300,4500,4700,4900,5000
K5,3300,3500,3650,3800,,4100,4200
M0,2800,2900,3100,3400,,3500,3600
M5,2000,2200,2400,2650,,2800,2900
M9,1900,2000,2100,2200,,2300,2400
