"1,000 km",0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2  1.3  1.4,1.3,1.4
1,23,34,41,47,54,59,63,68,72,76,80,83,87,90
2,47,68,83,96,108,118,128,136,145,153,160,168,175,181
3,72,102,125,145,163,178,192,205,218,230,241,252,262,273
4,96,136,168,194,217,238,257,274,291,307,321,336,350,363
5,121,171,210,242,271,297,321,343,364,383,403,421,438,454
6,145,205,252,291,326,356,385,412,437,461,483,505,526,546
7,170,240,294,340,380,417,450,481,510,538,564,589,613,636
8,194,274,336,389,434,476,514,550,583,615,644,673,701,727
9,218,308,378,437,489,535,579,618,656,691,726,758,788,819
10,242,343,421,486,543,595,643,687,729,768,806,842,876,910
11,267,377,463,534,597,655,707,756,802,846,887,926,965,1000
12,291,412,505,583,652,714,772,825,875,923,967,1011,1052,1092
13,315,446,547,632,706,774,836,894,948,1000,1048,1095,1140,1183
14,340,481,589,680,761,834,900,963,1021,1076,1129,1179,1227,1273
15,364,515,631,729,815,893,965,1032,1094,1153,1210,1264,1315,1365
16,389,550,673,778,869,952,1029,1101,1167,1231,1290,1348,1403,1456
17,413,584,716,827,924,1013,1094,1169,1240,1308,1371,1432,1491,1547
18,437,618,758,875,979,1072,1158,1238,1313,1384,1452,1516,1578,1638
19,461,653,800,924,1033,1131,1222,1307,1386,1461,1533,1601,1666,1729
20,486,687,842,972,1088,1191,1287,1376,1459,1538,1613,1685,1754,1820
21,510,722,884,1021,1142,1251,1351,1445,1532,1615,1694,1769,1842,1911
22,534,756,926,1070,1196,1310,1416,1513,1605,1692,1774,1854,1930,2002
23,559,791,968,1118,1251,1370,1480,1582,1678,1769,1856,1938,2017,2093
24,583,825,1011,1167,1305,1430,1544,1651,1751,1846,1936,2022,2105,2184
25,608,859,1053,1216,1359,1489,1609,1719,1824,1923,2017,2107,2192,2275
26,632,894,1095,1265,1414,1549,1673,1788,1897,2000,2097,2191,2280,2367
27,656,928,1137,1313,1468,1609,1738,1857,1970,2077,2178,2275,2368,2458
28,680,963,1179,1362,1523,1668,1801,1926,2043,2154,2259,2359,2456,2548
29,705,997,1221,1410,1577,1728,1866,1995,2116,2231,2340,2444,2543,2640
30,729,1032,1264,1459,1631,1787,1931,2064,2189,2308,2420,2528,2631,2731
