"1,000 km",0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4
1,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,0.0002,0.0003,0.0003,0.0004,0.0004,0.0004,0.0005,0.0005
2,0.0003,0.0007,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.004,0.005
3,0.001,0.002,0.003,0.005,0.006,0.007,0.008,.010,0.011,0.012,0.014,0.015,0.016,0.017
4,0.003,0.006,0.009,0.012,0.015,0.018,0.021,0.024,0.027,.030,0.033,0.036,0.039,0.042
5,0.005,0.011,0.017,0.023,0.029,0.035,0.041,0.047,0.053,0.059,0.065,0.071,0.077,0.083
6,.010,.020,.030,0.041,0.051,0.061,0.072,0.082,0.092,.10,0.11,0.12,0.13,0.14
7,0.016,0.032,0.049,0.065,0.081,0.098,0.11,0.13,0.14,0.16,0.17,0.19,0.21,0.22
8,0.024,0.048,0.073,0.097,0.12,0.14,0.17,0.19,0.21,0.24,0.26,0.29,0.31,0.34
9,0.034,0.069,.10,0.13,0.17,.20,0.24,0.27,0.31,0.34,0.38,0.41,0.45,0.48
10,0.047,0.095,0.14,0.19,0.23,0.28,0.33,0.38,0.42,0.47,0.52,0.57,0.61,0.66
11,0.063,0.12,0.19,0.25,0.31,0.38,0.44,.50,0.57,0.63,0.69,0.76,0.82,0.88
12,0.082,0.16,0.24,0.32,0.41,0.49,0.57,0.65,0.74,0.82,.90,0.98,1.07,1.15
13,.10,.20,0.31,0.41,0.52,0.62,0.73,0.83,0.94,1.04,1.15,1.25,1.36,1.46
14,0.13,0.26,0.39,0.52,0.65,0.78,0.91,1.04,1.17,1.30,1.43,1.57,1.70,1.83
15,0.16,0.32,0.48,0.64,.80,0.96,1.12,1.28,1.44,1.60,1.77,1.93,2.09,2.25
16,0.19,0.39,0.58,0.78,0.97,1.17,1.36,1.56,1.75,1.95,2.14,2.34,2.53,2.73
17,0.23,0.46,.70,0.93,1.17,1.40,1.64,1.87,2.10,2.34,2.57,2.81,3.40,3.28
18,0.27,0.55,0.83,1.11,1.39,1.66,1.94,2.22,2.50,2.78,3.05,3.33,3.61,3.89
19,0.32,0.65,0.98,1.30,1.63,1.96,2.28,2.61,2.94,3.27,3.59,3.92,4.25,4.57
20,0.38,0.76,1.14,1.52,1.90,2.28,2.67,3.05,3.43,3.81,4.19,4.57,4.96,5.34
21,0.44,0.88,1.32,1.76,2.20,2.65,3.09,3.53,3.97,4.41,4.85,5.30,5.74,6.18
22,.50,1.01,1.52,2.03,2.53,3.04,3.55,4.06,4.57,5.07,5.58,6.09,6.60,7.10
23,0.58,1.16,1.74,2.32,2.90,3.48,4.06,4.64,5.22,5.80,6.38,6.96,7.54,8.12
24,0.65,1.31,1.97,2.63,3.29,3.95,4.61,5.27,5.93,6.59,7.25,7.91,8.57,9.23
25,0.74,1.49,2.23,2.98,3.72,4.47,5.21,5.96,6.70,7.45,8.19,8.94,9.68,10.00
26,0.83,1.67,2.51,3.35,4.19,5.02,5.86,6.70,7.54,8.38,9.22,10.05,10.89,11.73
27,0.93,1.87,2.81,3.75,4.69,5.63,6.57,7.50,8.44,9.38,10.32,11.26,12.20,13.14
28,1.04,2.09,3.14,4.18,5.23,6.28,7.32,8.37,9.42,10.46,11.51,12.56,13.61,14.65
29,1.16,2.32,3.48,4.65,5.81,6.97,8.14,9.30,10.46,11.63,12.79,13.95,15.12,16.28
30,1.28,2.57,3.86,5.15,6.43,7.72,9.01,10.30,11.58,12.87,14.16,15.45,16.74,18.02
